0, 0, 0, 2.0979, 2.3477, 2.59461, 2.83187, 3.05243, 3.24929, 3.41589, 3.54641, 3.63619, 3.68193, 3.68193, 3.63619, 3.54641, 3.41589, 0, 0, 0
0, 0, 0, 2.0461, 2.28974, 2.53055, 2.76195, 2.97706, 3.16907, 3.33155, 3.45885, 3.54641, 3.59102, 3.59102, 3.54641, 3.45885, 3.33155, 0, 0, 0
0, 0, 0.942647, 1.97079, 2.20546, 2.43741, 2.66029, 2.86749, 3.05243, 3.20893, 3.33155, 3.41589, 3.45885, 3.45885, 3.41589, 3.33155, 3.20893, 1.6544, 0, 0
2.0979, 2.0461, 1.97079, 1.21038, 1.35451, 1.49696, 1.63385, 1.7611, 1.87468, 1.97079, 2.0461, 2.0979, 2.12429, 2.12429, 2.0979, 2.0461, 1.97079, 1.21038, 1.35451, 1.49696
2.3477, 2.28974, 2.20546, 1.35451, 1.51579, 1.67521, 1.82839, 1.97079, 2.0979, 2.20546, 2.28974, 2.3477, 2.37723, 2.37723, 2.3477, 2.28974, 2.20546, 1.35451, 1.51579, 1.67521
2.59461, 2.53055, 2.43741, 1.49696, 1.67521, 1.85139, 2.02069, 2.17806, 2.31854, 2.43741, 2.53055, 2.59461, 2.62725, 2.62725, 2.59461, 2.53055, 2.43741, 1.49696, 1.67521, 1.85139
2.83187, 2.76195, 2.66029, 1.63385, 1.82839, 2.02069, 2.20546, 2.37723, 2.53055, 2.66029, 2.76195, 2.83187, 2.86749, 2.86749, 2.83187, 2.76195, 2.66029, 1.63385, 1.82839, 2.02069
3.05243, 2.97706, 2.86749, 1.7611, 1.97079, 2.17806, 2.37723, 2.56238, 2.72764, 2.86749, 2.97706, 3.05243, 3.09082, 3.09082, 3.05243, 2.97706, 2.86749, 1.7611, 1.97079, 2.17806
3.24929, 3.16907, 3.05243, 1.87468, 2.0979, 2.31854, 2.53055, 2.72764, 2.90356, 3.05243, 3.16907, 3.24929, 3.29016, 3.29016, 3.24929, 3.16907, 3.05243, 1.87468, 2.0979, 2.31854
3.41589, 3.33155, 3.20893, 1.97079, 2.20546, 2.43741, 2.66029, 2.86749, 3.05243, 3.20893, 3.33155, 3.41589, 3.45885, 3.45885, 3.41589, 3.33155, 3.20893, 1.97079, 2.20546, 2.43741
3.54641, 3.45885, 3.33155, 2.0461, 2.28974, 2.53055, 2.76195, 2.97706, 3.16907, 3.33155, 3.45885, 3.54641, 3.59102, 3.59102, 3.54641, 3.45885, 3.33155, 2.0461, 2.28974, 2.53055
3.63619, 3.54641, 3.41589, 2.0979, 2.3477, 2.59461, 2.83187, 3.05243, 3.24929, 3.41589, 3.54641, 3.63619, 3.68193, 3.68193, 3.63619, 3.54641, 3.41589, 2.0979, 2.3477, 2.59461
3.68193, 3.59102, 3.45885, 2.12429, 2.37723, 2.62725, 2.86749, 3.09082, 3.29016, 3.45885, 3.59102, 3.68193, 3.72824, 3.72824, 3.68193, 3.59102, 3.45885, 2.12429, 2.37723, 2.62725
3.68193, 3.59102, 3.45885, 2.12429, 2.37723, 2.62725, 2.86749, 3.09082, 3.29016, 3.45885, 3.59102, 3.68193, 3.72824, 3.72824, 3.68193, 3.59102, 3.45885, 2.12429, 2.37723, 2.62725
3.63619, 3.54641, 3.41589, 2.0979, 2.3477, 2.59461, 2.83187, 3.05243, 3.24929, 3.41589, 3.54641, 3.63619, 3.68193, 3.68193, 3.63619, 3.54641, 3.41589, 2.0979, 2.3477, 2.59461
3.54641, 3.45885, 3.33155, 2.0461, 2.28974, 2.53055, 2.76195, 2.97706, 3.16907, 3.33155, 3.45885, 3.54641, 3.59102, 3.59102, 3.54641, 3.45885, 3.33155, 2.0461, 2.28974, 2.53055
3.41589, 3.33155, 3.20893, 1.97079, 2.20546, 2.43741, 2.66029, 2.86749, 3.05243, 3.20893, 3.33155, 3.41589, 3.45885, 3.45885, 3.41589, 3.33155, 3.20893, 1.97079, 2.20546, 2.43741
0, 0, 1.6544, 1.21038, 1.35451, 1.49696, 1.63385, 1.7611, 1.87468, 1.97079, 2.0461, 2.0979, 2.12429, 2.12429, 2.0979, 2.0461, 1.97079, 2.90356, 0, 0
0, 0, 0, 1.35451, 1.51579, 1.67521, 1.82839, 1.97079, 2.0979, 2.20546, 2.28974, 2.3477, 2.37723, 2.37723, 2.3477, 2.28974, 2.20546, 0, 0, 0
0, 0, 0, 1.49696, 1.67521, 1.85139, 2.02069, 2.17806, 2.31854, 2.43741, 2.53055, 2.59461, 2.62725, 2.62725, 2.59461, 2.53055, 2.43741, 0, 0, 0
